"assessid","stockid","stocklong","bioid","biovalue","bioyear","bionotes","bioshort","biolong","biounitsshort","biounitslong","sciname"
"HAWG-SEELNSSA2-1983-2017-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBlim-MT","56000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2017-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBmgt-MT","84000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2017-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2017-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBpa-MT","84000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBlim-MT","56000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBmgt-MT","84000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA2-1983-2018-ICESIMP2018","SEELNSSA2","Sand eel Sandeel Area 2","SSBpa-MT","84000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","100000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","195000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBtrigmsy-MT","195000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2013-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","100000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","195000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBtrigmsy-MT","195000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2014-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","100000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","195000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBtrigmsy-MT","195000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2015-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","100000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","195000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1983-2016-ICESIMP2016","SEELNSSA3","Sand eel Sandeel Area 3","SSBtrigmsy-MT","195000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","80000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","129000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2017-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBpa-MT","129000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBlim-MT","80000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-MT","129000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA3-1986-2018-ICESIMP2018","SEELNSSA3","Sand eel Sandeel Area 3","SSBpa-MT","129000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBlim-MT","48000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBmgt-MT","102000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBpa-MT","102000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBlim-MT","48000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBmgt-MT","102000","NULL","SSBpa-MT",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","Sand eel Sandeel Area 4","SSBpa-MT","102000","NULL","",NA,NA,NA,NA,"Ammodytes spp"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","SSBtrigmsy-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","Sprat North Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","Fmgt-1/yr","1.2","NULL","Fmsy-1/yr",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","Fmgt-type-refpt","Fmsy-1/yr","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","Fmsy-1/yr","1.2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","SSBtrigmsy-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","Sprat North Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","Fmgt-1/yr","0.7","NULL","Fmsy-1/yr",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","Fmgt-type-refpt","Fmsy-1/yr","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","Fmsy-1/yr","0.7","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","SSBtrigmsy-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","Sprat North Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","F-AGE-yr-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBtrigmsy-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBtrigmsy-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","SSBtrigmsy-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","Sprat North Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBpa-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","Sprat North Sea","SSBpa-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","F-AGE-yr","1 to 2","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","REC-AGE-yr","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","SSBlim-MT","90000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","SSBmgt-MT","142000","NULL","SSBpa-MT",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","SSBmgt-type-refpt","SSBpa-MT","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","Sprat North Sea","SSBpa-MT","142000","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","A50M-yr","0 to 1","2006","","A50M","Age at 50% maturity","yr","years","Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","Habitat-Habitat","Marine pelagic","NULL","","Habitat","Habitat, (pelagic marine; demersal marine; diadromous; wholly freshwater)","Habitat","habitat type","Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","M-1/yr","0.75","2007","","M","Natural mortality","1/yr","per year","Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","REC-AGE-yr","1","2007","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","SSB-AGE-yr","1+","2007","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","TB-AGE-yr","1+","2007","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATNS-1995-2007-MINTO","SPRATNS","Sprat North Sea","TB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"HAWG-SPRATVIIde-1985-2016-ICESIMP2018","SPRATVIIde","Sprat ICES 7de","SSB-SEX-sex","0","NULL","",NA,NA,NA,NA,"Sprattus sprattus"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","F60%-1/yr","0.26","NULL","NULL",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","Fmgt-1/yr","0.26","NULL","F60%-1/yr",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","Fmgt-type-refpt","F60%-1/yr","NULL","",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","Fmsy-extr-1/yr","0.325316983165728","NULL","Calculated from assessment values",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","M-1/yr","1","NULL","","M","Natural mortality","1/yr","per year","Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","SSB60%-MT","889000","NULL","NULL",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","SSBlim-MT","444000","NULL","SSB30%",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","SSBmgt-MT","889000","NULL","SSB60%-MT",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","SSBmgt-type-refpt","SSB60%-MT","NULL","",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-CSARDCSCH-1990-2015-PARMA","CSARDCSCH","Chilean sardine Central-Southern Chile","SSBmsy-extr-MT","642609.406737315","NULL","Calculated from assessment values",NA,NA,NA,NA,"Strangomera bentincki"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","F60%-1/yr","0.47","NULL","NULL",NA,NA,NA,NA,"Engraulis ringens"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","Fmgt-1/yr","0.47","NULL","F60%-1/yr",NA,NA,NA,NA,"Engraulis ringens"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","Fmgt-type-refpt","F60%-1/yr","NULL","",NA,NA,NA,NA,"Engraulis ringens"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","Habitat-Habitat","pelagic marine","NULL","","Habitat","Habitat, (pelagic marine; demersal marine; diadromous; wholly freshwater)","Habitat","habitat type","Engraulis ringens"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","Linf-cm","18.75","NULL","","Linf","Asymptotic length in von Bertalanffy growth model","cm","centimeters","Engraulis ringens"
"IFOPCH-PANCHCCH-1985-2016-PARMA","PANCHCCH","Peruvian anchoveta Central Chile","M-1/yr","1.3","NULL","","M","Natural mortality","1/yr","per year","Engraulis ringens"
